hash_Id,data,label,len
3038f5ae0e1034207c5b7b7b3457f2b7,我车是2016款时尚版（加装了多功能显示屏，可以显示动态气压、电压、方向盘扭角等），静止时四轮气压是2.3，运动时受气温、路面摩擦等影响，前轮会上升到2.5（最大试过一次2.6），后轮为2.4左右。,0,265
212b4d5f1888753b0b72afb6da360f0f,三大件都一样，不追求大灯轮胎等配置，豪华就可以了,0,72
8f5984d71f9aab3cc85735e79e168498,我要新款的SGP底盘和内饰2.0T的动力，新款内饰还有提升的，质感比老款好点,1,100
0a37761edb7347f86836abd90621564a,恭喜！颜色好看，清新脱俗,1,36
7736985d9f22e27f673f42c7b84141ce,就像车友说的，斯巴鲁的这个发动机构造吧，只要有地球引力就免不了消耗。哈哈，,1,111
2bc39b007b07bd8a0473db437b19aa00,不安全？你买一辆森林人和沃尔沃对碰了发视频，做了实验再哔哔………关于四驱，绕道找：代号车盲，他会带你领略欧蓝德四驱风采还有：生你的人叫你回家吃饭了，别吃了玉米乱说黄话,1,249
c79fcf8d132e1509eb952255e8389168,我跟你相反，我感觉热车加速轻盈许多。,1,54
55342cb608c091e264401a5880b7968d,开空调因为会增加发动机的负荷，所以发动机会抖动得厉害一点，大多数发动机都会有除非大排量的豪车,0,138
b1bede388dbbf3bdbadfde60a801a28f,所言极是，森林人至少没有国产之后的缩水，价格高，也值得买,0,84
e5462bd097344c6216e38333e7dfa306,常规的啊，防止后座打的啊太开不安全,1,51
28902371d85fb5c71bd5af51d7327df6,现有的内存卡在不删除以前思维导航的文件情况下可以下载完17款凯立德吗,0,98
b576a66a3ce49b5ff23eeb015ac34948,保养与油耗2.0T和2.5差不了多少。喜欢ES就2.5，喜欢动力就2.0T。动力2.0T比2.5强不少。,0,110
471a8569c3f9f149be77ac07ffec5e8c,今天去看了，18款一分不优惠,0,38
a1b8b6c103485fca5db80f6308b340ba,我搞错了，科雷傲是和奇骏同一个平台科雷傲是适时四驱，除了外观不一样，里面的性能差不多,0,126
7867fc579925337ab029df6492aa79e4,兄弟的车是在武汉提的吗，什么价提的啊！,0,57
ff9b4133b780bf735254ade4b2c9487f,荣放噪音不行，80后脑袋疼,-1,35
b80d3a8ab2e34d47ab6adbbdddcfdb64,关键是发动机寿命有影响吗，原厂硬件刷ecu可行吗，是不是有一阶二阶之分，好像看到车友原厂刷一阶的,0,138
f6ddef54b3e02742b6abbe2a243f1023,我的奥迪以前每天早上打火都会响，吹口哨一样，或一分钟就没有。后来发现二次进气泵的管脱落了，接上就好了,0,150
97b716f18eccde84a1ed83bc3f6abbf4,你的是几月份车，我的是16年4月份车2.0时尚，空调压缩机启动后加油就能听见呜呜的音声，不知道正常不？,0,141
2aa311a16fe63734f2546db57e867382,所谓的性价比高，就是花最少的钱，买最好的东西。汉兰达空间、配置、舒适都比森林人强不少（特别是个头大）。,1,153
3364958d129bbdabde033a48cd1cfb4a,你说这种话才是笑喷这种赛道多弯短程加速快作用并不大，关键看的车的综合素质。（加速7.6S的思域成绩是1分06秒）都说森林人那么牛逼，坐等1分04秒的森林人出现哦最后再给你一张图，这是传说中操控无敌的森林人？,-1,289
6072299b2a6d256700db07e5a7a641c2,来个总结发言：1.15款森林人更换机油用量应该是4.8L，他给用了5.5L。2.CVT变速箱油，如果只是重力换油，8L也用不上。设备换油12L也不够啊。3.楼主难道没有听说过“烯润”斯巴鲁不认可，出问题不予保修么？4.服务顾问没有签字，所以这张纸是废纸一张。。5.楼主没有把估价单拍全，没法继续了。。6.这个估价单录入的信息，斯巴鲁不认可，啊哈哈,0,459
5d5fdd7c96dcecd21f0c485f9cd6f37c,山东济宁，16款2.5豪华导航，黑色,0,44
cbee9f1a9913ca926df2e36f61ab2bb9,倒车影像还能用吗？导航应该没了吧？,0,51
c5617637d2d7f7119da177572e9384ec,差不多吧、主要是动力跟钥匙很介意.,0,49
fac702760bb1f699ce6ffdd4014e4402,车是2.5的不带t昨天加的机油是美孚5w30的对发动机有影响吗,0,77
5afae410f37dced7ecee8fddcb2a035e,广州有，我的是2018款时尚导航版包牌落地价273600,0,64
d7496bf8e3106b0de5b53adbbb7fd806,汉兰达除了大还是大，没有什么，在国外被当作面包车，油耗高。而且要加价，森林人是比较综合的车，轻度越野，油耗，操控，安全性。其实选哪款车，在于你买车的用途,0,228
b193c7a5af45926ba0165acdf0fb478a,想问一下建伍导航在哪买的,0,36
bffdba9a3064294bfdc800ddb6061296,变速箱没区别，只是多了模拟档位，可以用排挡杆或方向盘拔片进行手动换档，我家里另一台车是手自一体AT变速箱，2台车从不用手动模式全是D档。,0,196
6a7f25bc9470edb2dbc6b441250df8a4,变速箱油4升就可以了（重力换油的话）前后差速器油共计2升,0,80
a08693609c38bbc0a33042082f121179,这种情况周围多么？看来十万后变速箱电磁阀故障率很高啊，拆下来的时候看阀是不是堵的厉害，里面渣子特多？,-1,150
a604159684af9e3b24e32d14a617cc52,空间各方面的都要比crv的好些，特别是后排。,1,60
66ed7d494279571eae8c5e9d999e8af2,配置，油耗，操控，通过性，空间森林人。可靠性，越野能力超维。后期保养维护森林人也比超维便宜，而且4s点森林人也比超维多。,1,176
cf43b98a8020dafdf2594fd3a0b81625,中国救活了别克，通用造车品质不敢恭维，车重油耗高，小毛病多；森林人毕竟是日系进口，除了内饰和配件问题，同价位进口车中好像只有他一个，自己衡量吧。,1,216
7bc1f7e3392a0d424d6ae42c85a533cf,2016款哈，森林人真心可以哈，注重操控性和越野，哥们儿真的可以考虑森林人不错哈,0,112
aac8a9b07de6babe63afd9fdba307464,恭喜，我是23号提的黑色。开了长途，操控真的一流。,1,71
b824fe77a7d91fa2a4c4b0f7141b29ac,试驾不少车型，森的驾驶感受肯定強过途观，不然不纠结个毛！主要怕森烧机油，经常跑长途麻烦……,0,135
edc1e73b8fd7247e0c981d93ea444285,而且车开时间长了就知道质量是第一位的，何况质量比途观好之外，森林人操控、视野也比途观好,1,129
06a8b2d8a92c82035100469dfa2a5468,什么东西主要价格匹配都能买。森林人不容易坏，我的四年多就换了轴承和胶套、电瓶，其他没修什么。注意得是看看排气管烧不烧机油。,0,183
8e8d6a2d6e21c96ab3594b4c842478e9,怎么不上BBSRG-R呢？看看还是BBSRG-R好看。,0,53
90c703469fdafee501fbf5453b712b2b,内饰异响，发动机注意加高标号的机油，不然公里数多了之后烧机油很严重,0,99
