max_label,label_0,label_1,label_2,label_3,lable_4,label_5,label_6
20000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
20000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
20000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
20000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
20000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
10000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
10003,0.020709,0.002944,0.975787,0.000042,0.000034,0.000456,0.000028
10002,0.001408,0.957485,0.000064,0.006019,0.000423,0.013670,0.020932
10002,0.333758,0.612432,0.025102,0.002759,0.000295,0.024795,0.000859
10002,0.002699,0.996995,0.000095,0.000123,0.000018,0.000070,0.000001
10002,0.110234,0.828775,0.059132,0.001459,0.000118,0.000275,0.000007
10001,0.740272,0.000240,0.259198,0.000086,0.000004,0.000150,0.000051
10001,0.543074,0.000776,0.453448,0.001763,0.000006,0.000890,0.000042
10001,0.925404,0.046789,0.020180,0.000267,0.000005,0.007311,0.000044
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
10001,0.956131,0.035248,0.007862,0.000028,0.000040,0.000686,0.000006
20000,0.000076,0.000057,0.000046,0.000039,0.000033,0.000221,0.999528
20000,0.000165,0.000777,0.000001,0.000070,0.000088,0.000454,0.998445
20000,0.000551,0.000355,0.000182,0.000517,0.000261,0.001152,0.996981
20000,0.001428,0.011169,0.001584,0.000247,0.000200,0.006646,0.978726
10002,0.076472,0.499606,0.161992,0.017971,0.006167,0.045680,0.192112
20000,0.036553,0.028817,0.006917,0.000614,0.008149,0.016391,0.902559
10003,0.082397,0.092465,0.809796,0.003113,0.001128,0.006785,0.004317
