num_epoch,train_loss,p_train,f_train
1,1.078438,0.611383,0.611383
2,0.910280,0.767433,0.767433
3,0.757649,0.813544,0.813544
4,0.615119,0.888805,0.888805
5,0.499582,0.901621,0.901621
6,0.438406,0.879759,0.879759
7,0.392148,0.908908,0.908908
8,0.361813,0.942455,0.942455
9,0.344431,0.943837,0.943837
10,0.319444,0.937555,0.937555
11,0.306300,0.943712,0.943712
12,0.302532,0.948737,0.948737
13,0.273483,0.952004,0.952004
14,0.267598,0.951753,0.951753
15,0.254082,0.952507,0.952507
16,0.260004,0.953512,0.953512
